word,count
lying,189
position,189
mentioned,189
forth,188
flora,188
mention,188
worse,188
besides,187
bless,187
free,187
pleasant,187
sleep,187
didn't,186
common,186
garden,186
stone,186
supposed,186
effect,185
soul,185
reply,185
prisoner,185
changed,184
need,184
papers,183
sun,183
waiting,183
cause,182
drawing,182
forward,182
shadow,182
view,182
summerson,182
esther,181
immediately,181
showed,181
rooms,181
stand,181
watch,181
breath,180
faces,180
service,179
seems,179
till,179
worth,179
neither,178
mere,178
carriage,177
candle,177
consider,177
hum,177
jellyby,177
church,176
remained,176
makes,175
fear,175
sparkler,175
considered,174
distance,174
god,174
marshalsea,174
women,174
direction,173
run,173
meant,173
raised,173
walking,173
city,172
action,172
form,172
perfectly,172
spirits,172
spoken,172
takes,172
box,171
died,171
fast,171
passing,171
steps,171
suddenly,171
bell,170
likely,170
six,170
earth,169
neville,169
number,169
uncle,169
hardly,168
minute,168
plornish,168
barnacle,167
curious,167
piece,167
property,167
river,167
story,167
affery,166
sake,166
wouldn't,166
hot,165
staircase,165
beg,164
blood,164
dare,164
drew,164
moved,164
surprise,164
although,163
bar,163
anybody,163
fingers,163
proud,163
to-day,163
trust,163
consideration,162
dropped,162
entered,162
notice,162
top,162
condition,161
cut,161
cry,161
giving,161
particularly,161
seat,161
silent,161
thousand,161
brownlow,160
during,160
vholes,160
bill,159
afternoon,159
laughed,159
opportunity,159
i’ll,158
former,158
closed,157
fortune,157
everybody,157
led,157
seem,157
week,157
touched,157
write,157
blandois,156
manette,156
straight,156
pale,155
places,155
ran,155
presence,155
body,154
holding,154
green,154
post,154
nose,154
trooper,154
couldn't,153
greater,153
handsome,153
pipe,153
you'll,153
order,152
houses,151
note,151
softly,151
clothes,150
engaged,150
fair,150
pross,150
stranger,150
surprised,150
different,149
carton,149
ghost,149
presently,149
difficult,148
influence,148
instead,148
understood,148
walls,148
bottle,147
ain't,147
living,147
favour,146
monks,146
rising,146
spot,146
excuse,145
durdles,145
rich,145
opposite,145
otherwise,145
ma'am,144
nearly,144
quick,144
woodcourt,144
wished,144
below,143
die,143
directly,143
letters,143
father's,143
quietly,143
rejoined,143
fancy,142
finger,142
drink,142
highly,142
inn,142
doyce,141
darnay,141
laugh,141
exclaimed,141
presented,141
neck,141
pardon,141
beside,140
blue,140
bread,140
instant,140
key,140
mistress,140
play,140
