display_term,occurrence_count,key
found,239,Bleak House
charley,239,Bleak House
right,239,Bleak House
returned,238,Bleak House
door,238,Oliver Twist
thought,238,Great Expectations
told,238,Bleak House
estella,237,Great Expectations
looked,237,Bleak House
myself,235,Great Expectations
miss,233,A Tale of Two Cities
business,233,Little Dorrit
caddy,232,Bleak House
head,232,Great Expectations
one,232,The Mystery of Edwin Drood
know,231,A Tale of Two Cities
family,231,Little Dorrit
done,231,Bleak House
name,230,Little Dorrit
poor,230,Bleak House
biddy,228,Great Expectations
again,228,A Tale of Two Cities
upon,228,The Mystery of Edwin Drood
amy,227,Little Dorrit
head,226,Oliver Twist
girl,226,Bleak House
anything,225,Little Dorrit
smallweed,225,Bleak House
am,224,A Tale of Two Cities
left,224,Little Dorrit
girl,223,Oliver Twist
crisparkle,222,The Mystery of Edwin Drood
two,222,A Tale of Two Cities
found,221,Little Dorrit
saw,221,Bleak House
round,218,Bleak House
night,218,Oliver Twist
something,218,Little Dorrit
night,217,A Tale of Two Cities
good,217,A Tale of Two Cities
having,217,Bleak House
boy,217,Great Expectations
yet,217,Little Dorrit
bagnet,216,Bleak House
day,216,Great Expectations
present,215,Bleak House
child,213,Bleak House
two,213,Oliver Twist
half,212,Bleak House
done,212,Great Expectations
lady,212,Little Dorrit
jaggers,211,Great Expectations
hands,210,Bleak House
night,210,Great Expectations
woman,210,Little Dorrit
sir,210,Oliver Twist
lady,209,Oliver Twist
dear,209,Great Expectations
little,208,The Mystery of Edwin Drood
manner,208,Little Dorrit
once,208,Little Dorrit
sure,208,Bleak House
every,206,Little Dorrit
hand,205,Oliver Twist
eyes,204,Oliver Twist
am,203,The Mystery of Edwin Drood
took,202,Bleak House
first,201,Great Expectations
heart,201,Little Dorrit
miss,201,The Mystery of Edwin Drood
moment,201,Little Dorrit
left,201,Bleak House
jo,201,Bleak House
rose,201,Oliver Twist
quite,199,Great Expectations
give,199,Bleak House
business,199,Bleak House
great,198,Great Expectations
indeed,198,Bleak House
once,198,Bleak House
saw,198,Little Dorrit
skimpole,198,Bleak House
whom,198,Little Dorrit
friend,197,Little Dorrit
day,197,A Tale of Two Cities
court,197,Bleak House
child,196,Little Dorrit
heard,196,Bleak House
seemed,196,Bleak House
say,195,Oliver Twist
room,195,Oliver Twist
looked,195,A Tale of Two Cities
that's,195,Bleak House
look,194,Great Expectations
long,194,A Tale of Two Cities
mother,194,Bleak House
returns,194,Bleak House
find,194,Bleak House
doctor,193,A Tale of Two Cities
looks,193,Bleak House
knew,193,Bleak House
looking,192,Great Expectations
madame,192,A Tale of Two Cities
round,192,Little Dorrit
seemed,192,Little Dorrit
ever,192,Great Expectations
gentleman,192,Bleak House
really,191,Bleak House
own,191,Great Expectations
yard,191,Little Dorrit
give,189,Little Dorrit
boy,189,Bleak House
away,189,Oliver Twist
flora,188,Little Dorrit
pocket,188,Great Expectations
old,188,A Tale of Two Cities
right,188,Little Dorrit
seen,187,Bleak House
made,187,Oliver Twist
light,187,Little Dorrit
face,187,A Tale of Two Cities
off,186,Great Expectations
sir,186,The Mystery of Edwin Drood
made,185,A Tale of Two Cities
let,185,Bleak House
last,185,Great Expectations
fire,185,Bleak House
house,185,Great Expectations
ask,185,Little Dorrit
heart,184,Bleak House
hands,183,Little Dorrit
hope,183,Bleak House
hands,182,Great Expectations
cried,182,Oliver Twist
summerson,182,Bleak House
hope,181,Little Dorrit
esther,181,Bleak House
perhaps,181,Little Dorrit
